# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-09-13 23:49:39 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09506000 VERDE RIVER NEAR CAMP VERDE, AZ
# -----------------------------------------------------------------------------------
#
# Data provided for site 09506000
#            TS   parameter     statistic     Description
#          5707       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	5707_00060_00003	5707_00060_00003_cd
5s	15s	20d	14n	10s
USGS	09506000	2020-09-12	51.4	A
USGS	09506000	2020-09-13	54.8	A
USGS	09506000	2020-09-14	59.1	A
USGS	09506000	2020-09-15	60.0	A
USGS	09506000	2020-09-16	59.2	A
USGS	09506000	2020-09-17	59.2	A
USGS	09506000	2020-09-18	57.6	A
USGS	09506000	2020-09-19	56.1	A
USGS	09506000	2020-09-20	54.6	A
USGS	09506000	2020-09-21	58.1	A
USGS	09506000	2020-09-22	62.4	A
USGS	09506000	2020-09-23	67.1	A
USGS	09506000	2020-09-24	64.9	A
USGS	09506000	2020-09-25	60.8	A
USGS	09506000	2020-09-26	58.3	A
USGS	09506000	2020-09-27	62.4	A
USGS	09506000	2020-09-28	60.1	A
USGS	09506000	2020-09-29	55.5	A
USGS	09506000	2020-09-30	61.1	A
USGS	09506000	2020-10-01	62.4	A
USGS	09506000	2020-10-02	60.7	A
USGS	09506000	2020-10-03	59.8	A
USGS	09506000	2020-10-04	61.0	A
USGS	09506000	2020-10-05	64.3	A
